SampleN,Mn_S,Cu_S,Fe_S,Zn_S,Mg_S,K_S,Ca_S,Mo_S,SumTS
B2_2_14,457.0,16.5035,25908.5,56.0185,7088.0,3116.0,5755.5,0.611,1.98345004
B2_2_15,475.5,19.3535,26376.5,62.3365,7283.5,3249.0,4934.5,0.649,0.80849201
B2_3_1,614.0,20.043,38272.0,75.4055,10732.0,4654.0,13807.5,0.5445,3.92223082
B2_3_2,590.5,21.4385,39704.5,85.6355,11185.5,4414.0,12054.5,0.5755,1.99140431
B2_3_3,624.0,20.194,37680.0,69.242,11192.5,5117.5,13377.0,0.619,2.50644711
B2_3_4,547.0,21.368,31255.5,77.0215,9122.0,3646.0,12704.0,0.5155,2.09653015
B2_3_6,548.0,24.828,33061.0,193.651,9032.5,3473.5,9605.0,0.6955,0.54716445
B2_3_7,570.5,23.271,32955.0,78.4425,9599.5,3497.5,10213.0,0.5335,3.00859392
B2_3_9,696.0,26.95,39864.0,169.8465,11924.0,5287.5,13424.5,0.834,1.81311299
B2_3_10,574.0,22.006,38520.5,88.457,10284.0,3659.5,12119.5,0.644,1.21997383
B2_3_11,576.0,21.0235,33600.0,75.2145,10065.5,4082.5,12565.0,0.515,2.06810664
B2_3_12,631.5,21.0625,37110.5,109.8805,10917.0,5829.5,11937.0,0.523,1.6341739
B2_3_13,627.0,25.032,36264.5,95.233,10682.5,4553.5,11490.0,0.593,1.27781695
B2_3_14,546.0,17.8095,30473.5,55.9475,9688.0,4265.5,19123.5,0.6795,3.52892555
B3_1_5,179.542083,11.25384497,9852.066594,33.35790856,4569.394787,995.4695376,10482.40773,0.205302783,0.84982267
B3_1_6,187.0563588,12.25954504,10139.94043,22.01574271,4698.513882,978.4884659,10562.39677,0.185573075,1.0154581
B3_1_7,166.2573884,10.89087478,9033.670854,19.9901003,4285.729973,906.54216,9931.348076,0.175942227,1.14023282
B3_1_8,241.4536042,14.56054111,12569.38513,31.95709642,5981.349286,1151.631538,13484.53406,0.264898182,0.94787888
B3_1_9,177.9141588,11.33029653,9459.188143,32.50689274,4545.636195,919.2230868,10603.16578,0.189116648,1.49296155
B3_1_10,167.4722074,10.64781618,9252.823275,19.79824364,4325.155403,882.4417604,9800.151872,0.186548865,1.58529708
B3_1_11,232.3459184,14.49791385,12222.51644,28.70992913,5794.213015,1182.659139,12782.58455,0.234270641,1.98900487
B3_1_12,184.9161397,11.68553606,9960.857757,25.46459379,4639.831747,959.0532753,10418.9743,0.188752158,1.93724039
B3_1_13,148.898586,10.14615295,8077.185213,22.99806939,3853.249782,818.5397004,8901.554098,0.163013746,1.1756118
B3_1_14,203.7343436,12.73469261,10805.93981,22.46924457,5216.415777,1062.571075,11433.11556,0.197370001,1.96029139
B3_2_5,284.0924241,13.09394947,19770.66061,25.87871076,8682.659826,1999.143564,19798.15104,0.282241684,3.0177288
B3_2_6,265.2186564,11.57879853,18359.81696,21.67739305,7221.023085,1920.885755,15640.09786,0.270751615,4.36629786
B3_2_7,276.6028008,13.09962049,19808.27234,25.02925954,7907.255809,2085.767886,17293.05195,0.271580723,3.06934659
B3_2_8,259.9281473,12.20964536,20249.72486,21.71824572,7441.901741,1937.538328,16689.98253,0.258396907,4.43310655
B3_2_9,288.1549057,13.90655971,20852.90671,24.59629844,8111.189661,2108.86351,16718.0773,0.278788627,5.54839835
B3_2_10,309.2798928,15.08664311,22799.3083,26.29745402,9274.762589,2296.308931,20122.0899,0.349182631,3.57391581
B3_2_11,304.5937685,14.475633,19817.79964,25.81760401,8259.688164,2298.492387,17684.74901,0.293579439,4.69591199
B3_2_13,299.0970797,14.26575737,19926.30285,27.45881893,8173.734117,2216.390697,18217.74872,0.284587646,3.39249889
B3_2_14,296.4086984,14.91973507,19122.28595,27.70543304,8222.500682,2286.290814,17657.41601,0.325830775,4.46871695
B3_2_15,317.2283259,16.19063155,20368.4062,32.64873891,8666.742405,2387.402372,19253.72722,0.309073846,7.89368061
B3_3_5,436.2988217,21.26427234,23734.5883,35.36518077,10094.66113,3048.74279,23609.28773,0.444208939,0.69650165
B3_3_6,432.0720984,21.41440158,23491.85022,51.6640949,10099.88001,3074.080132,23545.59267,0.418454738,1.17551942
B3_3_7,464.0086135,22.74978071,24966.11245,38.91502831,10527.82369,3251.264316,23231.86362,0.444606907,2.51494815
B3_3_8,444.4020617,21.47600882,24082.34612,34.69711169,10143.84819,3032.719802,22661.91968,0.405427911,0.45407133
B3_3_9,406.5535478,20.19034734,22051.07298,33.89423672,9307.820638,2834.001292,20637.73067,0.377119941,0.8273304
